feature_a,feature_b,group_a,group_b,mean_abs_interaction
pct_people_of_color,nbr_count_25km,Community & EJ context,Regional PM signal,0.01085049764025493
longitude,nbr_std_50km,Geography,Regional PM signal,0.01081393618661084
nbr_count_50km,nbr_count_100km,Regional PM signal,Regional PM signal,0.010812068580936729
nbr_pm25_50km,nbr_count_50km,Regional PM signal,Regional PM signal,0.010668158433792391
superfund_proximity,nbr_count_50km,Local sources,Regional PM signal,0.010644032925835639
traffic_proximity,nbr_pm25_50km,Local sources,Regional PM signal,0.01063579843563966
longitude,nbr_count_25km,Geography,Regional PM signal,0.010439826823187455
humidity,hms_smoke,Meteorology,Wildfire smoke,0.010404957481862534
pressure,latitude,Meteorology,Geography,0.010372251946543037
latitude,nbr_count_100km,Geography,Regional PM signal,0.010368111464657522
