feature_a,feature_b,group_a,group_b,mean_abs_interaction
nbr_count_25km,month_cos,Regional PM signal,Season & calendar,0.0006280828714309428
ejf_score,month,Community & EJ context,Season & calendar,0.0006218424141922915
diesel_pm_proximity,month,Local sources,Season & calendar,0.000619932638570342
traffic_proximity,month_sin,Local sources,Season & calendar,0.0006195355238918175
temperature,wind_speed,Meteorology,Meteorology,0.0006016828880784155
pressure,wind_speed,Meteorology,Meteorology,0.0006012010165861698
pct_low_income,month_cos,Community & EJ context,Season & calendar,0.0006006796704169222
nbr_std_50km,dow,Regional PM signal,Season & calendar,0.0005975271228818738
nbr_count_50km,month_cos,Regional PM signal,Season & calendar,0.0005968438323317919
month_cos,doy_sin,Season & calendar,Season & calendar,0.0005947794211007718
pct_ling_isolated,month_cos,Community & EJ context,Season & calendar,0.0005935273108432792
cams_pm25,dow_sin,Regional PM signal,Season & calendar,0.0005923047397851768
nbr_std_50km,dow_sin,Regional PM signal,Season & calendar,0.0005830069644354763
superfund_proximity,doy_sin,Local sources,Season & calendar,0.0005711358397548977
nbr_pm25_100km,dow_cos,Regional PM signal,Season & calendar,0.0005668370144981
wind_speed,month_sin,Meteorology,Season & calendar,0.0005624844849744659
nbr_pm25_50km,dow,Regional PM signal,Season & calendar,0.0005609793295524048
latitude,month_cos,Geography,Season & calendar,0.0005455453050221788
wind_speed,traffic_proximity,Meteorology,Local sources,0.0005429492448052939
superfund_proximity,month_sin,Local sources,Season & calendar,0.0005411732673718218
cams_pm25,dow,Regional PM signal,Season & calendar,0.0005324574200504925
rmp_proximity,month_cos,Local sources,Season & calendar,0.0005321093512496583
wind_speed,dist_to_nearest_sensor,Meteorology,Geography,0.0005293960605074064
wind_speed,precipitation,Meteorology,Meteorology,0.000528213781416107
superfund_proximity,month,Local sources,Season & calendar,0.0005188752671289231
traffic_proximity,month,Local sources,Season & calendar,0.0005184999977917991
nbr_std_50km,dow_cos,Regional PM signal,Season & calendar,0.0005086242431688043
month_cos,doy_cos,Season & calendar,Season & calendar,0.0005084118085409328
ejf_score,month_cos,Community & EJ context,Season & calendar,0.0005083198388846918
pct_low_income,month,Community & EJ context,Season & calendar,0.0005049539896767787
wind_speed,nbr_count_25km,Meteorology,Regional PM signal,0.000500432713834459
wind_speed,hms_smoke,Meteorology,Wildfire smoke,0.0004991738049093514
superfund_proximity,doy_cos,Local sources,Season & calendar,0.00047630021317902665
traffic_proximity,month_cos,Local sources,Season & calendar,0.0004640355303531375
nbr_pm25_25km,dow_cos,Regional PM signal,Season & calendar,0.0004547433020176751
humidity,dow_sin,Meteorology,Season & calendar,0.0004508922474624832
diesel_pm_proximity,month_cos,Local sources,Season & calendar,0.0004485322107919431
nbr_count_25km,month,Regional PM signal,Season & calendar,0.0004480214538484282
cams_pm25,dow_cos,Regional PM signal,Season & calendar,0.0004454898805669
dist_to_nearest_sensor,month_cos,Geography,Season & calendar,0.00043524811656526217
wind_speed,doy_cos,Meteorology,Season & calendar,0.0004259231921530853
wind_speed,superfund_proximity,Meteorology,Local sources,0.0004170916277678552
aod,dow_sin,Regional PM signal,Season & calendar,0.00040811126364961463
dow,temp_x_humidity,Season & calendar,Meteorology,0.0003864197194966882
aod,dow,Regional PM signal,Season & calendar,0.00037679213391039816
dow_sin,temp_x_humidity,Season & calendar,Meteorology,0.0003522852525768759
dow,day_of_year,Season & calendar,Season & calendar,0.0003478789881967912
humidity,dow,Meteorology,Season & calendar,0.0003444619880982557
month,month_cos,Season & calendar,Season & calendar,0.0003416470020775588
dist_to_coast,dow_sin,Geography,Season & calendar,0.0003349083389950878
longitude,dow_sin,Geography,Season & calendar,0.00030510569715965765
dist_to_coast,dow,Geography,Season & calendar,0.00030436053795781967
longitude,dow,Geography,Season & calendar,0.0003026056851395001
dow_cos,temp_x_humidity,Season & calendar,Meteorology,0.0003009245715096807
wind_speed,wind_x_temp,Meteorology,Meteorology,0.0002985310389132816
precipitation,month_cos,Meteorology,Season & calendar,0.0002984539767273241
aod,dow_cos,Regional PM signal,Season & calendar,0.0002884684910040222
temperature,dow_sin,Meteorology,Season & calendar,0.00028403472676628426
dow,doy_sin,Season & calendar,Season & calendar,0.00027311214281084295
humidity,dow_cos,Meteorology,Season & calendar,0.00025791493483271974
temperature,dow,Meteorology,Season & calendar,0.00025682908571649535
month_cos,wind_x_temp,Season & calendar,Meteorology,0.0002482808629907064
nbr_count_100km,dow,Regional PM signal,Season & calendar,0.00024726338148764167
day_of_year,dow_sin,Season & calendar,Season & calendar,0.00024526575219232486
superfund_proximity,month_cos,Local sources,Season & calendar,0.00024256718373490412
latitude,dow_sin,Geography,Season & calendar,0.00023965566635824036
dist_to_coast,dow_cos,Geography,Season & calendar,0.0002377760802628855
dow_sin,doy_sin,Season & calendar,Season & calendar,0.00023606454398373978
rmp_proximity,dow,Local sources,Season & calendar,0.00023182151036100322
wind_speed,month_cos,Meteorology,Season & calendar,0.00022766291274831395
wind_speed,month,Meteorology,Season & calendar,0.00022470551224571317
pct_people_of_color,dow,Community & EJ context,Season & calendar,0.0002241801274487067
precipitation,dow_sin,Meteorology,Season & calendar,0.00022411933627660465
pct_people_of_color,dow_sin,Community & EJ context,Season & calendar,0.00022153080734214897
rmp_proximity,dow_sin,Local sources,Season & calendar,0.00021750049589804813
ejf_score,dow_sin,Community & EJ context,Season & calendar,0.00021579852519328655
hms_smoke,dow,Wildfire smoke,Season & calendar,0.00021486451844832908
dow_cos,doy_sin,Season & calendar,Season & calendar,0.00021440590732073778
month_sin,month_cos,Season & calendar,Season & calendar,0.00021401013852800931
pct_low_income,dow_sin,Community & EJ context,Season & calendar,0.0002101301670239679
month_sin,dow_sin,Season & calendar,Season & calendar,0.00020595594474177745
nbr_count_50km,dow_sin,Regional PM signal,Season & calendar,0.00020573401147081237
nbr_count_50km,dow,Regional PM signal,Season & calendar,0.00020563724298870424
diesel_pm_proximity,dow,Local sources,Season & calendar,0.0002056000518016481
pct_ling_isolated,dow_sin,Community & EJ context,Season & calendar,0.00020229548314235928
latitude,dow,Geography,Season & calendar,0.00020081947276262996
diesel_pm_proximity,dow_sin,Local sources,Season & calendar,0.00020015032849091176
nbr_count_100km,dow_sin,Regional PM signal,Season & calendar,0.00019526808164154315
longitude,dow_cos,Geography,Season & calendar,0.0001916469338878996
pct_low_income,dow,Community & EJ context,Season & calendar,0.0001898346375236289
dow,doy_cos,Season & calendar,Season & calendar,0.00018853383467339063
pct_ling_isolated,dow,Community & EJ context,Season & calendar,0.00018802950441342895
pressure,dow_sin,Meteorology,Season & calendar,0.0001850770141615975
ejf_score,dow,Community & EJ context,Season & calendar,0.00018378759477672414
rmp_proximity,dow_cos,Local sources,Season & calendar,0.0001821465940509496
temperature,dow_cos,Meteorology,Season & calendar,0.0001808786285093695
pct_people_of_color,dow_cos,Community & EJ context,Season & calendar,0.0001807593358304546
nbr_count_100km,dow_cos,Regional PM signal,Season & calendar,0.00018072641839650782
pressure,dow,Meteorology,Season & calendar,0.0001803423406950884
latitude,dow_cos,Geography,Season & calendar,0.00017783851545044875
dow_sin,doy_cos,Season & calendar,Season & calendar,0.0001773044880971687
hms_smoke,dow_sin,Wildfire smoke,Season & calendar,0.00017707214722840757
dist_to_nearest_sensor,dow_sin,Geography,Season & calendar,0.00017592836443594746
precipitation,dow_cos,Meteorology,Season & calendar,0.00017213760280666106
pct_low_income,dow_cos,Community & EJ context,Season & calendar,0.00016656826919995022
dow,wind_x_temp,Season & calendar,Meteorology,0.00016148726102596208
month,dow,Season & calendar,Season & calendar,0.00015871336096835218
nbr_count_25km,dow,Regional PM signal,Season & calendar,0.00015703536357628627
traffic_proximity,dow_sin,Local sources,Season & calendar,0.0001566516559769904
traffic_proximity,dow,Local sources,Season & calendar,0.0001564629907768262
ejf_score,dow_cos,Community & EJ context,Season & calendar,0.00015549292167526253
dist_to_nearest_sensor,dow,Geography,Season & calendar,0.0001535603885598478
hms_smoke,dow_cos,Wildfire smoke,Season & calendar,0.0001531801202215782
pct_ling_isolated,dow_cos,Community & EJ context,Season & calendar,0.00015272789323237808
dow_cos,doy_cos,Season & calendar,Season & calendar,0.00014795318333167727
day_of_year,dow_cos,Season & calendar,Season & calendar,0.00014641169577184833
dow_sin,wind_x_temp,Season & calendar,Meteorology,0.0001417064609338187
nbr_count_50km,dow_cos,Regional PM signal,Season & calendar,0.00013958568762999552
superfund_proximity,dow_sin,Local sources,Season & calendar,0.00013703108106151083
pressure,dow_cos,Meteorology,Season & calendar,0.0001328726505410794
month,dow_sin,Season & calendar,Season & calendar,0.00013285632117199196
month_cos,dow_sin,Season & calendar,Season & calendar,0.0001328406937834647
wind_speed,dow_sin,Meteorology,Season & calendar,0.0001322258195257573
precipitation,dow,Meteorology,Season & calendar,0.00012987593303339534
nbr_count_25km,dow_sin,Regional PM signal,Season & calendar,0.00012953228806873577
wind_speed,dow,Meteorology,Season & calendar,0.00012154882469670579
diesel_pm_proximity,dow_cos,Local sources,Season & calendar,0.00011420687137481437
dist_to_nearest_sensor,dow_cos,Geography,Season & calendar,0.0001134385060164782
nbr_count_25km,dow_cos,Regional PM signal,Season & calendar,0.00011313687232411672
traffic_proximity,dow_cos,Local sources,Season & calendar,0.00011278802542477132
dow,month_sin,Season & calendar,Season & calendar,0.00010790786052485125
month,dow_cos,Season & calendar,Season & calendar,0.0001076644012692974
dow_cos,wind_x_temp,Season & calendar,Meteorology,0.00010182033610507728
month_sin,dow_cos,Season & calendar,Season & calendar,9.820357701527698e-05
dow,month_cos,Season & calendar,Season & calendar,9.576050561428725e-05
month_cos,dow_cos,Season & calendar,Season & calendar,9.12230341235104e-05
superfund_proximity,dow,Local sources,Season & calendar,8.979251411642937e-05
superfund_proximity,dow_cos,Local sources,Season & calendar,7.722925531649931e-05
wind_speed,dow_cos,Meteorology,Season & calendar,7.443578992185578e-05
dow,dow_sin,Season & calendar,Season & calendar,3.379391068619415e-05
dow_sin,dow_cos,Season & calendar,Season & calendar,3.3179677529558894e-05
dow,dow_cos,Season & calendar,Season & calendar,1.7994276362521014e-05
